speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
3.6,0,0.1,0,9.32968055879631,1,4,1,0,0,0.4904,0,0,0,0,0,1,0,0,0,0,0,0,0.1,-1.83690953073357E-17,0,2792.20058,
5.824756009052,0.1,0.2,0,6.17987780292222,1,4,269.88026525323,160,6.06395069931424,1.2838105377986,1.12333422057377,31.6416025768092,100,0,0,1,0,1.3,1.3,0,0,0,0.2,-3.67381906146713E-17,0,2792.9939905378,
7.19961812627877,0.161805163931423,0.3,0,6.17919473683222,1,4,333.582187240546,160,7.49527178542696,1.96139192677038,1.71621793592409,31.6221783731001,100,0,0,1,0,1.3,1.3,0,0,0,0.3,-5.5107285922007E-17,0,2793.67157192677,
8.31182716598888,0.211807815972924,0.4,0,6.1786113908241,1,4,385.114520987665,160,8.65315389648064,2.6141979397066,2.28742319724328,31.6055898879441,100,0,0,1,0,1.3,1.3,0,0,0,0.4,-7.34763812293426E-17,0,2794.32437793971,
9.27512342197368,0.25511959241037,0.5,0,6.17804937452921,1,4,429.747231555903,160,9.65600809261315,3.25525380148851,2.84834707630245,31.5896079512623,100,0,0,1,0,1.3,1.3,0,0,0,0.5,-9.18454765366783E-17,0,2794.96543380149,
10.1382964885037,0.293933092093525,0.6,0,6.1774974742202,1,4,469.74090267149,160,10.5546275218699,3.88933574921224,3.40316878056071,31.5739136806988,100,0,0,1,0,1.3,1.3,0,0,0,0.6,-1.10214571844014E-16,0,2795.59951574921,
10.9279093444763,0.329442016142868,0.7,0,6.17695157792044,1,4,506.326285249934,160,11.3766659768235,4.51876365549323,3.95391819855657,31.5583901448569,100,0,0,1,0,1.3,1.3,0,0,0,0.7,-1.2858366715135E-16,0,2796.22894365549,
11.6604032464511,0.362385188404996,0.8,0,6.17640968839617,1,4,540.265157239438,160,12.1392398772959,5.1448486032232,4.5017425278203,31.5429805488289,100,0,0,1,0,1.3,1.3,0,0,0,0.8,-1.46952762458685E-16,0,2796.85502860322,
12.3468227662652,0.393258906268018,0.9,0,6.17587067690479,1,4,572.069250285491,160,12.8538473425239,5.76840690582838,5.04735604259983,31.5276527948043,100,0,0,1,0,1.3,1.3,0,0,0,0.9,-1.65321857766021E-16,0,2797.47858690583,
12.995024559472,0.422416205017265,1,0,6.17533384066257,1,4,602.102589298557,160,13.5286676630839,6.38998250640026,5.59123469310023,31.5123868978729,100,0,0,1,0,1.3,1.3,0,0,0,1,-1.83690953073357E-16,0,2798.1001625064,
13.6108401813139,0.450119115339016,1.1,0,6.17479871137591,1,4,630.635369574936,160,14.1697718681209,7.00995659756165,6.13371202286644,31.4971695412701,100,0,0,1,0,1.3,1.3,0,0,0,1.1,-2.02060048380692E-16,0,2798.72013659756,
14.1987427121415,0.476568621409496,1.2,0,6.17426496086696,1,4,657.874843763418,160,14.7818167258626,7.62860695019921,6.67503108142431,31.4819913926732,100,0,0,1,0,1.3,1.3,0,0,0,1.2,-2.20429143688028E-16,0,2799.3387869502,
14.7622543756603,0.501922978995831,1.3,0,6.17373234999614,1,4,683.984208170685,160,15.3684691007872,8.24614238001814,7.21537458251587,31.4668456517209,100,0,0,1,0,1.3,1.3,0,0,0,1.3,-2.38798238995364E-16,0,2799.95632238002,
15.3042087345475,0.526309498211593,1.4,0,6.17320069898901,1,4,709.094751153825,160,15.9326789163508,8.86272391723687,7.75488342758226,31.4517272062063,100,0,0,1,0,1.3,1.3,0,0,0,1.4,-2.57167334302699E-16,0,2800.57290391724,
15.8269263927586,0.549832439269456,1.5,0,6.17266986921082,1,4,733.313993991008,160,16.4768620725426,9.4784784081866,8.29366860716327,31.4366321138025,100,0,0,1,0,1.3,1.3,0,0,0,1.5,-2.75536429610035E-16,0,2801.18865840819,
16.3323367876378,0.572578485536829,1.6,0,6.17213975145652,1,4,756.731333913875,160,17.0030272394106,10.0935075858752,8.83181913764082,31.4215572690693,100,0,0,1,0,1.3,1.3,0,0,0,1.6,-2.93905524917371E-16,0,2801.80368758588,
16.8220650487281,0.594620646721779,1.7,0,6.17161025814174,1,4,779.422068564334,160,17.5128662827452,10.7078943114032,9.36940752247779,31.4065001813886,100,0,0,1,0,1.3,1.3,0,0,0,1.7,-3.12274620224706E-16,0,2802.4180743114,
17.2974954649624,0.616021110871525,1.8,0,6.17108131792938,1,4,801.450336640001,160,18.0078203375621,11.3217069850569,9.90649361192478,31.3914588221624,100,0,0,1,0,1.3,1.3,0,0,0,1.8,-3.30643715532042E-16,0,2803.03188698506,
17.7598188422526,0.636833372434433,1.9,0,6.17055287193199,1,4,822.871312128409,160,18.4891291104397,11.9350027367163,10.4431273946267,31.3764315168214,100,0,0,1,0,1.3,1.3,0,0,0,1.9,-3.49012810839378E-16,0,2803.64518273672,
18.2100684930963,0.657103849470128,2,0,6.17002487096509,1,4,843.732871824819,160,18.9578683470457,12.5478297804171,10.9793510578649,31.3614168667171,100,0,0,1,0,1.3,1.3,0,0,0,2,-3.67381906146713E-16,0,2804.25800978042,
18.649148031403,0.676873132607997,2.1,0,6.16949727352008,1,4,864.076883158739,160,19.4149787683632,13.1602291832205,11.5152005353179,31.3464136914778,100,0,0,1,0,1.3,1.3,0,0,0,2.1,-3.85751001454049E-16,0,2804.87040918322,
