,rpm,t,id,iq,torque,motorpwr,accpwr,current,voltage,vout,vd,vq,phasepwr
0,1,230,0.0,282.9028290282903,229.99999999999997,24.08679624664879,26.688970910414177,0.08826296703075327,302.3801671130684,168.46986829088232,-0.0542146924106578,5.1490090297840805,1456.749964351937
1,11,230,0.0,282.9028290282903,229.99999999999997,264.9547587131367,293.5786800145559,0.9717128327395878,302.12493844686514,168.32251195174493,-0.5963616165172357,5.716590102532636,1626.0158395553754
2,21,230,0.0,282.9028290282903,229.99999999999997,505.8227211796246,560.4683891186977,1.8566534079087849,301.86927911469877,168.17490696749783,-1.138508540623814,6.284171175281192,1806.7506519108122
3,31,230,0.0,282.9028290282903,229.99999999999997,746.6906836461125,827.3580982228393,2.7431098276451578,301.6131818550369,168.02704914569333,-1.680655464730392,6.851752248029748,1995.841096311249
4,41,230,0.0,282.9028290282903,229.99999999999997,987.5586461126004,1094.2478073269813,3.6310285375946414,301.3566621397325,167.8789474190099,-2.22280238883697,7.419333320778303,2191.125008099538
5,51,230,0.0,282.9028290282903,229.99999999999997,1228.4266085790882,1361.1375164311228,4.5205541717405335,301.09967818402777,167.73057766300636,-2.7649493129435485,7.98691439352686,2391.0853762178967
6,61,230,0.0,282.9028290282903,229.99999999999997,1469.2945710455763,1628.0272255352647,5.411563418806147,300.84226561255053,167.58196044557118,-3.3070962370501262,8.554495466275416,2594.641229044303
7,71,230,0.0,282.9028290282903,229.99999999999997,1710.162533512064,1894.9169346394065,6.304107791566071,300.58440954326016,167.4330871745542,-3.8492431611567044,9.122076539023972,2801.008799414874
8,81,230,0.0,282.9028290282903,229.99999999999997,1951.030495978552,2161.8066437435477,7.198195163515478,300.326107701504,167.2839565366841,-4.391390085263282,9.689657611772528,3009.609748321557
9,91,230,0.0,282.9028290282903,229.99999999999997,2191.89845844504,2428.69635284769,8.093833462084849,300.0673577970473,167.13456720969324,-4.93353700936986,10.257238684521084,3220.010052132494
10,101,230,0.0,282.9028290282903,229.99999999999997,2432.766420911528,2695.5860619518317,8.991030669102567,299.8081575239398,166.98491786224062,-5.4756839334764384,10.82481975726964,3431.8787843287873
11,111,230,0.0,282.9028290282903,229.99999999999997,2673.6343833780156,2962.4757710559734,9.889794821262353,299.54850456038093,166.835007153834,-6.017830857583017,11.392400830018197,3644.959890131486
12,121,230,0.0,282.9028290282903,229.99999999999997,2914.5023458445035,3229.3654801601147,10.790134010595466,299.2883965685826,166.68483373475087,-6.559977781689596,11.959981902766753,3859.052547822873
13,131,230,0.0,282.9028290282903,229.99999999999997,3155.3703083109917,3496.255189264257,11.692056384947836,299.02783119463214,166.53439624595907,-7.102124705796173,12.527562975515309,4073.99728631459
14,141,230,0.0,282.9028290282903,229.99999999999997,3396.2382707774796,3763.1448983683986,12.5955701484621,298.7668060683529,166.3836933190365,-7.644271629902751,13.095144048263863,4289.666020424976
15,151,230,0.0,282.9028290282903,229.99999999999997,3637.106233243967,4030.03460747254,13.50068356206468,298.5053188031631,166.2327235760895,-8.186418554009329,13.662725121012418,4505.954793440367
16,161,230,0.0,282.9028290282903,229.99999999999997,3877.974195710455,4296.924316576682,14.407404943957902,298.24336699593414,166.08148562967116,-8.728565478115906,14.230306193760974,4722.778418486026
17,171,230,0.0,282.9028290282903,229.99999999999997,4118.842158176943,4563.814025680823,15.315742670117256,297.98094822684675,165.92997808269814,-9.270712402222484,14.79788726650953,4940.066470762928
18,181,230,0.0,282.9028290282903,229.99999999999997,4359.710120643431,4830.7037347849655,16.225705174793852,297.71806005924566,165.77819952836688,-9.812859326329065,15.365468339258088,5157.760253912969
19,191,230,0.0,282.9028290282903,229.99999999999997,4600.578083109919,5097.593443889107,17.137377366073878,297.45467796318485,165.62613580430644,-10.355006250435641,15.933049412006643,5375.810477870497
20,201,230,0.0,282.9028290282903,229.99999999999997,4841.4460455764065,5364.483152993249,18.050538551132625,297.19086569682145,165.47382372130602,-10.897153174542222,16.5006304847552,5594.1754626548545
21,211,230,0.0,282.9028290282903,229.99999999999997,5082.314008042895,5631.372862097391,18.965426587270947,296.92655454318106,165.32122360560192,-11.439300098648797,17.068211557503755,5812.819735361372
22,221,230,0.0,282.9028290282903,229.99999999999997,5323.181970509383,5898.262571201533,19.88197373192101,296.66176407309166,165.16834675641695,-11.981447022755376,17.63579263025231,6031.712924244092
23,231,230,0.0,282.9028290282903,229.99999999999997,5564.04993297587,6165.152280305674,20.800188718434704,296.39649176348786,165.01519171705866,-12.523593946861956,18.20337370300087,6250.828879519049
