,rpm,t,id,iq,torque,motorpwr,accpwr,current,voltage,vout,vd,vq,phasepwr
0,1,230,0.0,410.31130140041034,230.0,24.086796246648795,26.68897091041418,0.08826296703075329,302.3801671130684,170.70998257368132,-0.04253802201542508,3.1574996631313357,1295.6753601390346
1,11,230,0.0,410.31130140041034,230.0,264.95475871313675,293.57868001455597,0.971712832739588,302.12493844686514,170.56262623454393,-0.46791824216967587,3.548837388013504,1468.7307408351435
2,21,230,0.0,410.31130140041034,230.0,505.8227211796247,560.4683891186978,1.8566534079087853,301.86927911469877,170.41502125029683,-0.8932984623239268,3.940175112895673,1657.726823278054
3,31,230,0.0,410.31130140041034,230.0,746.6906836461126,827.3580982228394,2.743109827645158,301.6131818550369,170.26716342849232,-1.3186786824781775,4.331512837777841,1857.804977250199
4,41,230,0.0,410.31130140041034,230.0,987.5586461126005,1094.2478073269813,3.6310285375946414,301.3566621397325,170.1190617018089,-1.744058902632428,4.7228505626600095,2065.7476437634737
5,51,230,0.0,410.31130140041034,230.0,1228.4266085790885,1361.137516431123,4.520554171740534,301.09967818402777,169.97069194580536,-2.1694391227866796,5.114188287542179,2279.4034753136048
6,61,230,0.0,410.31130140041034,230.0,1469.2945710455765,1628.027225535265,5.411563418806148,300.84226561255053,169.82207472837018,-2.59481934294093,5.5055260124243475,2497.306541089379
7,71,230,0.0,410.31130140041034,230.0,1710.1625335120643,1894.9169346394067,6.3041077915660715,300.58440954326016,169.6732014573532,-3.0201995630951814,5.896863737306516,2718.4356895837223
8,81,230,0.0,410.31130140041034,230.0,1951.0304959785524,2161.8066437435486,7.198195163515481,300.326107701504,169.5240708194831,-3.445579783249432,6.288201462188684,2942.063581565823
9,91,230,0.0,410.31130140041034,230.0,2191.8984584450404,2428.6963528476904,8.09383346208485,300.0673577970473,169.37468149249224,-3.8709600034036824,6.679539187070853,3167.6610486111003
10,101,230,0.0,410.31130140041034,230.0,2432.7664209115283,2695.586061951832,8.99103066910257,299.8081575239398,169.22503214503962,-4.296340223557934,7.070876911953022,3394.8354600979856
11,111,230,0.0,410.31130140041034,230.0,2673.634383378016,2962.475771055974,9.889794821262354,299.54850456038093,169.075121436633,-4.721720443712185,7.46221463683519,3623.2902126007093
12,121,230,0.0,410.31130140041034,230.0,2914.502345844504,3229.3654801601156,10.79013401059547,299.2883965685826,168.92494801754987,-5.147100663866435,7.853552361717359,3852.797556277276
13,131,230,0.0,410.31130140041034,230.0,3155.370308310992,3496.2551892642573,11.692056384947836,299.02783119463214,168.77451052875807,-5.572480884020686,8.244890086599527,4083.18000288046
14,141,230,0.0,410.31130140041034,230.0,3396.23827077748,3763.144898368399,12.595570148462102,298.7668060683529,168.6238076018355,-5.9978611041749375,8.636227811481696,4314.297363827423
15,151,230,0.0,410.31130140041034,230.0,3637.106233243968,4030.0346074725408,13.500683562064681,298.5053188031631,168.4728378588885,-6.423241324329187,9.027565536363863,4546.0375529104795
16,161,230,0.0,410.31130140041034,230.0,3877.9741957104557,4296.924316576682,14.407404943957902,298.24336699593414,168.32159991247016,-6.8486215444834375,9.418903261246031,4778.309952562205
17,171,230,0.0,410.31130140041034,230.0,4118.8421581769435,4563.814025680824,15.315742670117263,297.98094822684675,168.17009236549714,-7.274001764637689,9.810240986128202,5011.040556049852
18,181,230,0.0,410.31130140041034,230.0,4359.710120643432,4830.703734784966,16.225705174793855,297.71806005924566,168.01831381116588,-7.699381984791941,10.20157871101037,5244.168359934343
19,191,230,0.0,410.31130140041034,230.0,4600.57808310992,5097.593443889108,17.137377366073878,297.45467796318485,167.86625008710544,-8.12476220494619,10.592916435892539,5477.64265004894
20,201,230,0.0,410.31130140041034,230.0,4841.446045576407,5364.48315299325,18.05053855113263,297.19086569682145,167.71393800410502,-8.550142425100443,10.984254160774707,5711.420935045197
21,211,230,0.0,410.31130140041034,230.0,5082.314008042896,5631.372862097392,18.965426587270947,296.92655454318106,167.5613378884009,-8.975522645254692,11.375591885656876,5945.46735541022
22,221,230,0.0,410.31130140041034,230.0,5323.181970509383,5898.262571201533,19.88197373192101,296.66176407309166,167.40846103921595,-9.400902865408943,11.766929610539044,6179.751445856323
23,231,230,0.0,410.31130140041034,230.0,5564.049932975871,6165.152280305675,20.800188718434708,296.39649176348786,167.25530599985765,-9.826283085563196,12.158267335421215,6414.247163324524
24,241,230,0.0,410.31130140041034,230.0,5804.91789544236,6432.041989409818,21.72008034156679,296.130735073565,167.10187130339173,-10.251663305717445,12.549605060303382,6648.932116754445
25,251,230,0.0,410.31130140041034,230.0,6045.785857908847,6698.9316985139585,22.64189144768594,295.86442384500714,166.94811644389563,-10.677043525871698,12.940942785185552,6883.786951637845
26,261,230,0.0,410.31130140041034,230.0,6286.653820375335,6965.821407618101,23.564928986968606,295.5977582999084,166.79415701964928,-11.102423746025945,13.332280510067719,7118.794854412426
27,271,230,0.0,410.31130140041034,230.0,6527.521782841823,7232.711116722241,24.48990391065612,295.3305330444551,166.63987444647904,-11.527803966180196,13.723618234949887,7353.941150445578
28,281,230,0.0,410.31130140041034,230.0,6768.389745308311,7499.600825826384,25.416963757395763,295.062705454732,166.485244115456,-11.953184186334449,14.114955959832056,7589.2129757019975
29,291,230,0.0,410.31130140041034,230.0,7009.257707774799,7766.490534930525,26.345430504630723,294.79447141145585,166.3303791183647,-12.378564406488698,14.506293684714224,7824.599006866034
30,301,230,0.0,410.31130140041034,230.0,7250.125670241287,8033.380244034667,27.27513982980996,294.5258783874115,166.17530686363025,-12.80394462664295,14.897631409596393,8060.089238170565
