          s         mph       hp
          10.18     6.85      -0.21     
          10.19     6.84      -0.21     
          10.21     6.83      -0.21     
          10.23     6.82      -0.20     
          10.25     6.81      -0.20     
          10.26     6.80      -0.20     
          10.28     6.79      -0.20     
          10.30     6.78      -0.20     
          10.32     6.77      -0.20     
          10.33     6.76      -0.20     
          10.35     6.75      -0.20     
          10.37     6.74      -0.20     
          10.38     6.73      -0.20     
          10.40     6.72      -0.20     
          10.42     6.71      -0.20     
          10.44     6.70      -0.20     
          10.45     6.69      -0.20     
          10.47     6.68      -0.20     
          10.49     6.67      -0.20     
          10.51     6.66      -0.20     
          10.52     6.65      -0.20     
          10.54     6.64      -0.20     
          10.56     6.63      -0.20     
          10.58     6.62      -0.20     
          10.59     6.61      -0.20     
          10.61     6.60      -0.20     
          10.63     6.59      -0.20     
          10.65     6.58      -0.19     
          10.66     6.57      -0.19     
          10.68     6.56      -0.19     
          10.70     6.55      -0.19     
          10.72     6.54      -0.19     
          10.73     6.53      -0.19     
          10.75     6.52      -0.19     
          10.77     6.51      -0.19     
          10.79     6.50      -0.19     
          10.81     6.49      -0.19     
          10.82     6.48      -0.19     
          10.84     6.47      -0.19     
          10.86     6.46      -0.19     
          10.88     6.45      -0.19     
          10.90     6.44      -0.19     
          10.91     6.43      -0.18     
          10.93     6.42      -0.18     
          10.95     6.41      -0.18     
          10.97     6.40      -0.18     
          10.99     6.39      -0.18     
          11.01     6.38      -0.18     
          11.02     6.37      -0.18     
          11.04     6.36      -0.18     
          11.06     6.35      -0.18     
          11.08     6.34      -0.18     
          11.10     6.33      -0.18     
          11.11     6.32      -0.18     
          11.13     6.31      -0.18     
          11.15     6.30      -0.18     
          11.17     6.29      -0.18     
          11.19     6.28      -0.18     
          11.20     6.27      -0.18     
          11.22     6.26      -0.18     
          11.24     6.25      -0.18     
          11.26     6.24      -0.18     
          11.28     6.23      -0.18     
          11.30     6.22      -0.18     
          11.31     6.21      -0.18     
          11.33     6.20      -0.18     
          11.35     6.19      -0.18     
          11.37     6.18      -0.18     
          11.39     6.17      -0.18     
          11.41     6.16      -0.17     
          11.42     6.15      -0.17     
          11.44     6.14      -0.17     
          11.46     6.13      -0.17     
          11.48     6.12      -0.17     
          11.50     6.11      -0.17     
          11.51     6.10      -0.17     
          11.53     6.09      -0.17     
          11.55     6.08      -0.17     
          11.57     6.07      -0.17     
          11.59     6.06      -0.17     
          11.61     6.05      -0.17     
          11.62     6.04      -0.17     
          11.64     6.03      -0.17     
          11.66     6.02      -0.17     
          11.68     6.01      -0.17     
          11.70     6.00      -0.17     
          11.72     5.99      -0.16     
          11.73     5.98      -0.16     
          11.75     5.97      -0.16     
          11.77     5.96      -0.16     
          11.79     5.95      -0.16     
          11.81     5.94      -0.16     
          11.83     5.93      -0.16     
          11.85     5.92      -0.16     
          11.87     5.91      -0.16     
          11.89     5.90      -0.16     
          11.91     5.89      -0.16     
          11.92     5.88      -0.16     
          11.94     5.87      -0.16     
          11.96     5.86      -0.16     
          11.98     5.85      -0.16     
          12.00     5.84      -0.16     
          12.02     5.83      -0.16     
          12.04     5.82      -0.16     
          12.06     5.81      -0.15     
          12.08     5.80      -0.15     
          12.10     5.79      -0.15     
          12.11     5.78      -0.15     
          12.13     5.77      -0.15     
          12.15     5.76      -0.15     
          12.17     5.75      -0.15     
          12.19     5.74      -0.15     
          12.21     5.73      -0.15     
          12.23     5.72      -0.15     
          12.25     5.71      -0.15     
          12.27     5.70      -0.15     
          12.29     5.69      -0.15     
          12.30     5.68      -0.15     
          12.32     5.67      -0.15     
          12.34     5.66      -0.15     
          12.36     5.65      -0.15     
          12.38     5.64      -0.15     
          12.40     5.63      -0.15     
          12.42     5.62      -0.15     
          12.44     5.61      -0.15     
          12.46     5.60      -0.15     
          12.48     5.59      -0.15     
          12.50     5.58      -0.15     
          12.52     5.57      -0.15     
          12.54     5.56      -0.14     
          12.56     5.55      -0.14     
          12.58     5.54      -0.14     
          12.59     5.53      -0.14     
          12.61     5.52      -0.14     
          12.63     5.51      -0.14     
          12.65     5.50      -0.14     
          12.67     5.49      -0.14     
          12.69     5.48      -0.14     
          12.71     5.47      -0.14     
          12.73     5.46      -0.14     
          12.75     5.45      -0.14     
          12.77     5.44      -0.14     
          12.79     5.43      -0.14     
          12.81     5.42      -0.14     
          12.83     5.41      -0.14     
          12.85     5.40      -0.14     
          12.87     5.39      -0.13     
          12.89     5.38      -0.13     
          12.91     5.37      -0.13     
          12.93     5.36      -0.13     
          12.95     5.35      -0.13     
          12.97     5.34      -0.13     
          12.99     5.33      -0.13     
          13.01     5.32      -0.13     
          13.03     5.31      -0.13     
          13.05     5.30      -0.13     
          13.07     5.29      -0.13     
          13.09     5.28      -0.13     
          13.11     5.27      -0.13     
          13.13     5.26      -0.12     
          13.15     5.25      -0.12     
          13.17     5.24      -0.12     
          13.19     5.23      -0.12     
          13.21     5.22      -0.12     
          13.23     5.21      -0.12     
          13.25     5.20      -0.11     
          13.27     5.19      -0.11     
          13.30     5.18      -0.11     
          13.32     5.17      -0.11     
          13.34     5.16      -0.10     
          13.36     5.15      -0.10     
          13.38     5.14      -0.10     
          13.40     5.13      -0.10     
          13.42     5.12      -0.10     
          13.44     5.11      -0.09     
          13.47     5.10      -0.09     
          13.50     5.09      -0.09     
          13.53     5.08      -0.09     
          13.56     5.07      -0.08     
          13.59     5.06      -0.08     
          13.61     5.05      -0.08     
          13.64     5.04      -0.08     
          13.67     5.03      -0.07     
          13.70     5.02      -0.07     
          13.73     5.01      -0.06     
          13.76     5.00      -0.05     
          13.79     4.99      -0.04     
          13.82     4.98      -0.03     
          13.84     4.97      -0.01     
          13.87     4.96      0.00      
          13.90     4.95      0.02      
          13.93     4.94      0.03      
          13.96     4.93      0.05      
          13.99     4.92      0.06      
          14.02     4.91      0.08      
          14.05     4.90      0.09      
          N/A       4.91      N/A       
          14.12     4.92      0.13      
          14.13     4.93      0.14      
          14.15     4.94      0.15      
          14.17     4.95      0.16      
          14.19     4.96      0.17      
          14.21     4.97      0.18      
          14.22     4.98      0.19      
          14.24     4.99      0.20      
          14.26     5.00      0.21      
          14.28     5.01      0.22      
          14.30     5.02      0.23      
          14.31     5.03      0.24      
          14.33     5.04      0.25      
          14.35     5.05      0.26      
          14.37     5.06      0.26      
          14.39     5.07      0.27      
          14.40     5.08      0.28      
          14.42     5.09      0.29      
          14.44     5.10      0.29      
          14.46     5.11      0.30      
          14.48     5.12      0.30      
          14.49     5.13      0.31      
          14.51     5.14      0.31      
          14.53     5.15      0.32      
          14.55     5.16      0.32      
          14.56     5.17      0.33      
          14.58     5.18      0.33      
          14.60     5.19      0.34      
          14.62     5.20      0.34      
          14.64     5.21      0.35      
          14.65     5.22      0.35      
          14.67     5.23      0.36      
          14.69     5.24      0.36      
          14.70     5.25      0.36      
          14.71     5.26      0.37      
          14.73     5.27      0.37      
          14.74     5.28      0.37      
          14.75     5.29      0.38      
          14.76     5.30      0.38      
          14.77     5.31      0.38      
          14.78     5.32      0.39      
          14.79     5.33      0.39      
          14.80     5.34      0.39      
          14.81     5.35      0.40      
          14.82     5.36      0.40      
          14.84     5.37      0.40      
          14.85     5.38      0.41      
          14.86     5.39      0.41      
          14.87     5.40      0.41      
          14.88     5.41      0.42      
          14.89     5.42      0.42      
          14.90     5.43      0.42      
          14.91     5.44      0.43      
          14.92     5.45      0.43      
          14.93     5.46      0.43      
          14.95     5.47      0.44      
          14.96     5.48      0.44      
          14.97     5.49      0.44      
          14.98     5.50      0.45      
          14.99     5.51      0.45      
          15.00     5.52      0.45      
          15.01     5.53      0.45      
          15.02     5.54      0.45      
          15.03     5.55      0.46      
          15.04     5.56      0.46      
          15.06     5.57      0.46      
          15.07     5.58      0.46      
          15.08     5.59      0.46      
          15.09     5.60      0.46      
          15.10     5.61      0.46      
          15.11     5.62      0.46      
          15.12     5.63      0.46      
          15.13     5.64      0.46      
          15.14     5.65      0.47      
          15.15     5.66      0.47      
          15.17     5.67      0.47      
          15.18     5.68      0.47      
          15.19     5.69      0.47      
          15.20     5.70      0.47      
          15.21     5.71      0.47      
          15.22     5.72      0.47      
          15.23     5.73      0.47      
          15.24     5.74      0.47      
          15.25     5.75      0.47      
          15.26     5.76      0.47      
          15.27     5.77      0.47      
          15.29     5.78      0.48      
          15.30     5.79      0.48      
          15.31     5.80      0.48      
          15.32     5.81      0.48      
          15.33     5.82      0.48      
          15.34     5.83      0.48      
          15.35     5.84      0.48      
          15.36     5.85      0.48      
          15.37     5.86      0.48      
          15.39     5.87      0.48      
          15.40     5.88      0.48      
          15.41     5.89      0.48      
          15.42     5.90      0.48      
          15.43     5.91      0.48      
          15.44     5.92      0.49      
          15.45     5.93      0.49      
          15.46     5.94      0.49      
          15.47     5.95      0.49      
          15.49     5.96      0.49      
          15.50     5.97      0.49      
          15.51     5.98      0.49      
          15.52     5.99      0.49      
          15.53     6.00      0.49      
          15.54     6.01      0.49      
          15.55     6.02      0.49      
          15.56     6.03      0.50      
          15.57     6.04      0.50      
          15.58     6.05      0.50      
          15.60     6.06      0.50      
          15.61     6.07      0.50      
          15.62     6.08      0.50      
          15.63     6.09      0.50      
          15.64     6.10      0.51      
          15.65     6.11      0.51      
          15.66     6.12      0.51      
          15.67     6.13      0.51      
          15.68     6.14      0.51      
          15.70     6.15      0.51      
          15.71     6.16      0.52      
          15.72     6.17      0.52      
          15.73     6.18      0.52      
          15.74     6.19      0.52      
          15.75     6.20      0.52      
          15.76     6.21      0.52      
          15.77     6.22      0.53      
          15.78     6.23      0.53      
          15.80     6.24      0.53      
          15.81     6.25      0.53      
          15.82     6.26      0.53      
          15.83     6.27      0.53      
          15.84     6.28      0.54      
          15.85     6.29      0.54      
          15.86     6.30      0.54      
          15.87     6.31      0.54      
          15.88     6.32      0.54      
          15.89     6.33      0.54      
          15.90     6.34      0.55      
          15.91     6.35      0.55      
          15.92     6.36      0.55      
          15.93     6.37      0.55      
          15.94     6.38      0.55      
          15.95     6.39      0.55      
          15.96     6.40      0.55      
          15.97     6.41      0.55      
          15.98     6.42      0.56      
          15.99     6.43      0.56      
          16.00     6.44      0.56      
          16.01     6.45      0.57      
          16.02     6.46      0.57      
          16.03     6.47      0.57      
          16.04     6.48      0.58      
          16.05     6.49      0.59      
          16.06     6.50      0.59      
          16.07     6.51      0.60      
          16.08     6.52      0.61      
          16.09     6.53      0.62      
          16.10     6.54      0.64      
          16.11     6.55      0.65      
          16.12     6.56      0.66      
          16.13     6.57      0.68      
          16.14     6.58      0.69      
          16.15     6.59      0.70      
          16.16     6.60      0.72      
          16.17     6.61      0.73      
          16.18     6.62      0.75      
          16.19     6.63      0.77      
          16.21     6.64      0.78      
          16.22     6.65      0.80      
          16.23     6.66      0.81      
          16.24     6.67      0.83      
          16.25     6.68      0.84      
          16.26     6.69      0.86      
          16.27     6.70      0.88      
          16.28     6.71      0.89      
          16.29     6.72      0.91      
          16.30     6.73      0.92      
          16.30     6.74      0.93      
          16.31     6.75      0.94      
          N/A       6.76      N/A       
          N/A       6.77      N/A       
          16.32     6.78      0.96      
          16.32     6.79      0.97      
          N/A       6.80      N/A       
          N/A       6.81      N/A       
          N/A       6.82      N/A       
          16.34     6.83      1.00      
          16.35     6.84      1.01      
          N/A       6.85      N/A       
          N/A       6.86      N/A       
          N/A       6.87      N/A       
          16.36     6.88      1.04      
          16.37     6.89      1.05      
          N/A       6.90      N/A       
          N/A       6.91      N/A       
          16.38     6.92      1.07      
          16.39     6.93      1.08      
          N/A       6.94      N/A       
          N/A       6.95      N/A       
          N/A       6.96      N/A       
          16.40     6.97      1.11      
          16.41     6.98      1.12      
          N/A       6.99      N/A       
          N/A       7.00      N/A       
          16.42     7.01      1.14      
          16.43     7.02      1.15      
          N/A       7.03      N/A       
          N/A       7.04      N/A       
          N/A       7.05      N/A       
          16.44     7.06      1.18      
          16.45     7.07      1.19      
          N/A       7.08      N/A       
          N/A       7.09      N/A       
          16.46     7.10      1.22      
          16.46     7.11      1.22      
          N/A       7.12      N/A       
          N/A       7.13      N/A       
          N/A       7.14      N/A       
          16.48     7.15      1.26      
          16.49     7.16      1.27      
          N/A       7.17      N/A       
          N/A       7.18      N/A       
          N/A       7.19      N/A       
